iter	MultiClass
0	1.094736428
1	1.092047216
2	1.087782754
3	1.085133077
4	1.080620925
5	1.078752937
6	1.074883154
7	1.073165784
8	1.070606816
9	1.067469028
10	1.06400292
11	1.061195548
12	1.058714143
13	1.054004041
14	1.049767774
15	1.047988759
16	1.045195298
17	1.043665205
18	1.038996633
19	1.037585411
20	1.033165699
21	1.02903703
22	1.024233045
23	1.021447633
24	1.018988351
25	1.017589697
26	1.014495829
27	1.011512485
28	1.008613339
29	1.004943988
30	1.002571108
31	0.9978836462
32	0.9958107976
33	0.9933016189
34	0.9882168658
35	0.9855027306
36	0.9832446676
37	0.9810481113
38	0.9788069131
39	0.9757962766
40	0.9732501261
41	0.9710939021
42	0.9681209323
43	0.9654291019
44	0.9632298664
45	0.9618617217
46	0.959785716
47	0.9568018087
48	0.9532702222
49	0.9509948387
50	0.947964367
51	0.9461379168
52	0.9434160887
53	0.9418294776
54	0.9403150209
55	0.9381399708
56	0.9354562462
57	0.9337388755
58	0.9311085921
59	0.9279963873
60	0.9254411203
61	0.9230368286
62	0.9208915494
63	0.9188222698
64	0.916850334
65	0.9136907701
66	0.91236372
67	0.909696843
68	0.9069272412
69	0.9052688005
70	0.9032430315
71	0.9011669855
72	0.8986232473
73	0.8958792975
74	0.8944181489
75	0.8923477578
76	0.890430915
77	0.8883462327
78	0.8850489516
79	0.8832159442
80	0.8804941636
81	0.8787649017
82	0.8769369836
83	0.8739447611
84	0.8716281612
85	0.8703460824
86	0.8672198764
87	0.8657251828
88	0.8645750428
89	0.8628775823
90	0.8609764784
91	0.8590545234
92	0.8577033945
93	0.8548985734
94	0.8530275922
95	0.8517086239
96	0.8493716194
97	0.8476461558
98	0.8462383236
99	0.8447472065
100	0.8432201865
101	0.840893356
102	0.8397181736
103	0.8382049868
104	0.8366902525
105	0.8350742722
106	0.8339053452
107	0.8317337869
108	0.8295794474
109	0.8279445924
110	0.8260690593
111	0.8233217985
112	0.8213882495
113	0.819540528
114	0.8181051065
115	0.8161827233
116	0.8136008452
117	0.812300894
118	0.8107620195
119	0.809011054
120	0.8076638156
121	0.8055132845
122	0.8029870659
123	0.8009946526
124	0.7987813854
125	0.7970870179
126	0.7949975517
127	0.7933405159
128	0.7911922688
129	0.7890582176
130	0.78773737
131	0.7859962228
132	0.7836572008
133	0.7815794955
134	0.7807314675
135	0.7792388244
136	0.7769160691
137	0.7754517295
138	0.7746022267
139	0.7721013637
140	0.7697179758
141	0.7678473984
142	0.7665674581
143	0.765133944
144	0.7629708287
145	0.7604451211
146	0.7589101704
147	0.757613011
148	0.7559166633
149	0.754184735
150	0.752695287
151	0.7513518782
152	0.749292954
153	0.746328473
154	0.7447355617
155	0.7425198077
156	0.7414511914
157	0.7394463569
158	0.7377073178
159	0.7357498745
160	0.7341551041
161	0.7322995224
162	0.7313449948
163	0.7297319088
164	0.7276849004
165	0.7269289424
166	0.7249781639
167	0.7230934419
168	0.7219686884
169	0.7213402324
170	0.7195981531
171	0.7174196949
172	0.7154548162
173	0.713954462
174	0.7124568544
175	0.7100954469
176	0.7085198674
177	0.7061311271
178	0.7045810784
179	0.7012404598
180	0.699274097
181	0.6975496386
182	0.6952563631
183	0.6927881333
184	0.6913171259
185	0.6896913673
186	0.6880788932
187	0.686699114
188	0.6854320792
189	0.6837244968
190	0.6818355018
191	0.6800857655
192	0.6780411569
193	0.6758373705
194	0.674255651
195	0.6727173852
196	0.6716026181
197	0.6689823965
198	0.6672121011
199	0.6650328851
