iter	Passed	Remaining
0	79	15891
1	88	8809
2	96	6351
3	104	5128
4	112	4389
5	120	3889
6	128	3538
7	136	3267
8	144	3071
9	151	2885
10	159	2744
11	167	2624
12	175	2521
13	182	2430
14	190	2351
15	198	2279
16	206	2223
17	214	2166
18	222	2118
19	230	2071
20	238	2032
21	245	1990
22	253	1954
23	261	1919
24	269	1884
25	276	1853
26	285	1826
27	292	1799
28	300	1772
29	308	1749
30	316	1725
31	325	1707
32	333	1685
33	341	1665
34	348	1644
35	357	1626
36	365	1609
37	373	1592
38	381	1575
39	389	1558
40	397	1543
41	406	1527
42	415	1515
43	423	1500
44	431	1485
45	439	1469
46	447	1456
47	455	1442
48	463	1428
49	471	1414
50	479	1400
51	487	1387
52	495	1373
53	503	1360
54	511	1347
55	518	1334
56	527	1322
57	534	1309
58	542	1297
59	550	1285
60	558	1273
61	566	1260
62	574	1249
63	582	1237
64	590	1226
65	598	1215
66	607	1204
67	614	1193
68	623	1183
69	631	1173
70	640	1163
71	648	1153
72	655	1141
73	663	1129
74	671	1118
75	679	1107
76	687	1098
77	695	1087
78	703	1077
79	711	1067
80	719	1057
81	727	1047
82	735	1037
83	743	1026
84	751	1017
85	759	1007
86	767	997
87	775	987
88	784	978
89	792	968
90	800	958
91	808	948
92	816	939
93	824	929
94	832	920
95	840	910
96	848	901
97	857	892
98	865	882
99	873	873
100	881	863
101	888	853
102	896	844
103	904	834
104	912	825
105	920	816
106	928	807
107	936	798
108	944	788
109	953	779
110	961	771
111	970	762
112	978	753
113	987	744
114	995	736
115	1004	727
116	1012	718
117	1020	709
118	1029	700
119	1037	691
120	1046	682
121	1054	674
122	1063	665
123	1072	657
124	1081	648
125	1089	640
126	1098	631
127	1106	622
128	1115	613
129	1123	605
130	1132	596
131	1141	587
132	1149	579
133	1158	570
134	1166	561
135	1174	552
136	1182	543
137	1191	535
138	1199	526
139	1207	517
140	1215	508
141	1223	499
142	1232	491
143	1240	482
144	1249	473
145	1257	465
146	1265	456
147	1274	447
148	1282	438
149	1291	430
150	1299	421
151	1307	412
152	1315	404
153	1323	395
154	1332	386
155	1340	377
156	1348	369
157	1356	360
158	1365	352
159	1373	343
160	1381	334
161	1389	325
162	1397	317
163	1406	308
164	1414	300
165	1422	291
166	1430	282
167	1438	274
168	1446	265
169	1455	256
170	1463	248
171	1472	239
172	1480	231
173	1488	222
174	1496	213
175	1505	205
176	1513	196
177	1521	188
178	1530	179
179	1538	170
180	1547	162
181	1555	153
182	1563	145
183	1572	136
184	1580	128
185	1588	119
186	1596	110
187	1605	102
188	1613	93
189	1627	85
190	1640	77
191	1649	68
192	1658	60
193	1666	51
194	1675	42
195	1683	34
196	1691	25
197	1699	17
198	1708	8
199	1716	0
